Unnamed: 0,id,chain,dept,category,company,brand,date,productsize,productmeasure,purchasequantity,purchaseamount
5049,86246,205,99,9909,107127979,6732,2013-03-03,16.0,OZ,1,2.19
5220,86246,205,56,5616,104610040,15889,2013-03-03,8.0,OZ,1,4.69
5311,86246,205,32,3203,106414464,13474,2013-03-04,5.0,OZ,1,3.69
5334,86246,205,99,9909,107127979,6732,2013-03-04,9.0,OZ,1,4.79
5720,86246,205,99,9909,107127979,6732,2013-03-06,12.0,OZ,1,2.29
5724,86246,205,99,9909,107127979,6732,2013-03-06,9.0,OZ,1,2.98
5817,86246,205,99,9909,107127979,6732,2013-03-07,9.0,OZ,1,3.69
5941,86246,205,56,5616,104610040,15889,2013-03-07,8.0,OZ,1,4.69
6077,86246,205,99,9909,107127979,6732,2013-03-09,12.0,OZ,3,6.87
6080,86246,205,32,3203,106414464,13474,2013-03-09,5.0,OZ,1,1.99
6081,86246,205,99,9909,107127979,6732,2013-03-09,9.0,OZ,2,5.37
6134,86246,205,35,3509,103320030,875,2013-03-09,55.52,OZ,1,7.19
6269,86246,205,99,9909,107127979,6732,2013-03-10,6.0,OZ,2,6.58
6273,86246,205,99,9909,107127979,6732,2013-03-10,10.0,OZ,2,7.18
6289,86246,205,99,9909,107127979,6732,2013-03-10,5.5,OZ,1,3.69
6654,86246,205,56,5616,104610040,15889,2013-03-11,6.84,OZ,1,3.85
6779,86246,205,99,9909,107127979,6732,2013-03-13,12.0,OZ,1,2.29
6783,86246,205,99,9909,107127979,6732,2013-03-13,8.0,OZ,1,2.29
6932,86246,205,32,3203,106414464,13474,2013-03-14,5.0,OZ,1,1.99
6948,86246,205,99,9909,107127979,6732,2013-03-14,6.0,OZ,1,3.29
7041,86246,205,99,9909,107127979,6732,2013-03-15,6.0,OZ,1,2.65
7505,86246,205,99,9909,107127979,6732,2013-03-18,9.0,OZ,1,3.69
7715,86246,205,32,3203,106414464,13474,2013-03-20,5.0,OZ,1,3.69
7831,86246,205,99,9909,107127979,6732,2013-03-21,9.0,OZ,1,2.39
7992,86246,205,99,9909,107127979,6732,2013-03-22,16.0,OZ,1,2.19
8073,86246,205,56,5616,104610040,15889,2013-03-22,7.5,OZ,1,4.69
8118,86246,205,99,9909,107127979,6732,2013-03-23,8.0,OZ,1,3.65
8304,86246,205,99,9909,107127979,6732,2013-03-24,9.0,OZ,1,2.98
8420,86246,205,99,9909,107127979,6732,2013-03-25,12.0,OZ,4,9.16
8424,86246,205,99,9909,107127979,6732,2013-03-25,9.0,OZ,2,6.67
8943,86246,205,99,9909,107127979,6732,2013-03-28,9.0,OZ,1,2.98
9195,86246,205,99,9909,107127979,6732,2013-03-30,9.0,OZ,1,3.69
9587,86246,205,99,9909,107127979,6732,2013-04-01,8.0,OZ,1,2.29
9780,86246,205,21,2119,108079383,6926,2013-04-02,20.0,OZ,1,1.69
9948,86246,205,99,9909,107127979,6732,2013-04-04,9.0,OZ,1,2.99
9952,86246,205,99,9909,107127979,6732,2013-04-04,12.0,OZ,1,2.59
9956,86246,205,99,9909,107127979,6732,2013-04-04,10.5,OZ,1,3.99
10118,86246,205,99,9909,107127979,6732,2013-04-05,12.0,OZ,2,5.18
10171,86246,205,56,5616,104610040,15889,2013-04-05,8.0,OZ,1,4.69
10277,86246,205,21,2119,108079383,6926,2013-04-06,20.0,OZ,1,1.69
10290,86246,205,99,9909,107127979,6732,2013-04-06,8.0,OZ,2,7.3
10347,86246,205,99,9909,107127979,6732,2013-04-07,6.0,OZ,1,2.65
10351,86246,205,99,9909,107127979,6732,2013-04-07,10.5,OZ,2,7.98
10617,86246,205,99,9909,107127979,6732,2013-04-09,6.0,OZ,1,2.65
10783,86246,205,99,9909,107127979,6732,2013-04-10,8.0,OZ,1,2.29
10927,86246,205,99,9909,107127979,6732,2013-04-11,9.0,OZ,2,7.38
10939,86246,205,99,9909,107127979,6732,2013-04-11,12.0,OZ,2,4.58
11001,86246,205,99,9909,107127979,6732,2013-04-12,12.0,OZ,1,2.29
11048,86246,205,21,2119,108079383,6926,2013-04-12,202.8,OZ,1,4.99
11208,86246,205,32,3203,106414464,13474,2013-04-13,5.0,OZ,1,3.69
